NOMBRE,POBLACION,SUPERFICIE,CONTINENTE
Chile,6554,2547,America
India,84000041,9541,Asia
Francia,4558,1587,Europa
Argentina,45000000,7000,America
Brasil,212559417,8515767,America
Alemania,83240000,357022,Europa
China,1409670000,9596961,Asia
Australia,25687041,7692024,Oceania
Egipto,109262178,1002450,Africa
Canada,38929902,9984670,America
España,47420000,505990,Europa
Sudafrica,60414495,1221037,Africa
Italia,59554023,301340,Europa
Nigeria,223804632,923768,Africa
Reino Unido,67886011,243610,Europa
Peru,34125320,1285216,America
Corea del Sur,51780000,100210,Asia
Colombia,51520000,1141748,America
Mexico,6458245,2352144,America
Rusia,9855744,855421564,Europa
Argelia,5222,47555,Africa
Japon,54442,85552,Asia
